628.098,629.003,629.003,629.914,630.16,630.138,629.397,628.212,628.212
627.239,628.23,628.23,629.03,629.148,629.136,628.446,627.238,627.238
626.027,627.159,627.159,627.938,628.051,628,627.371,626.215,626.215
624.15,625.336,625.336,626.315,626.411,626.334,625.862,624.852,624.852
621.994,623.227,623.227,624.475,624.709,624.709,624.408,623.668,623.668
620.987,622.019,622.019,623.036,623.426,623.523,623.367,622.847,622.847
619.684,620.694,620.694,621.593,621.984,622.223,622.299,621.948,621.948
617.02,618.367,618.367,619.423,619.846,620.238,620.522,620.508,620.508
613.774,615.173,615.173,616.767,617.445,618.076,618.617,619.105,619.105
611.66,612.881,612.881,614.843,615.718,616.521,617.248,618.202,618.202
609.776,611.072,611.072,613.106,614.061,614.99,615.931,617.255,617.255
607.14,608.475,608.475,610.665,611.828,612.978,614.18,615.919,615.919
603.989,605.507,605.507,608.064,609.415,610.853,612.298,614.558,614.558
602.008,603.533,603.533,606.296,607.805,609.305,610.954,613.572,613.572
599.857,601.515,601.515,604.512,606.268,607.825,609.596,612.404,612.404
597.089,598.765,598.765,602.025,603.764,605.557,607.336,610.267,610.267
